N	NT1
H	HT2
CA	CT3
HA	HT4
CB	CT5
HB	HT6
CG2	CT7
HG21	HT8
HG22	HT9
HG23	HT10
CG1	CT11
HG12	HT12
HG13	HT13
CD1	CT14
HD11	HT15
HD12	HT16
HD13	HT17
C	CT18
O	OT19
