N	NT1
H	HT2
CA	CT3
HA	HT4
CB	CT5
HB2	HT6
HB3	HT7
CG	CT8
HG2	HT9
HG3	HT10
CD	CT11
HD2	HT12
HD3	HT13
CE	CT14
HE2	HT15
HE3	HT16
NZ	NT17
HZ1	HT18
HZ2	HT19
HZ3	HT20
C	CT21
O	OT22
